Album Name,Track,Release date,Time,Streams,Ranked in Album
Don't smile at me,Copycat,07/13/2017,3:15,"593,148,084",7
Don't smile at me,Watch,06/30/2017,2:58,"899,873,626",4
Don't smile at me,Ocean Eyes,11/18/2016,3:21,"2,011,577,275",1
Don't smile at me,Idontwannabeyouanymore,07/20/2017,3:24,"1,311,272,559",2
Don't smile at me,Party Favor,04/21/2018,3:25,"310,078,984",8
Don't smile at me,Hostage,08/11/2017,3:50,"599,247,400",6
Don't smile at me,My Boy,07/27/2017,2:51,"604,548,256",5
Don't smile at me,Bellyache,02/24/2017,3:00,"1,183,448,618",3
Don't smile at me,&burn,12/15/2017,3:00,"254,219,719",9
WWAFAWDWG,!!!!!!!,03/29/2019,0:14,"235,606",15
WWAFAWDWG,Bad Guy,03/29/2019,3:14,"2,836,964,602",1
WWAFAWDWG,Xanny,03/29/2019,4:04,"523,380,331",12
WWAFAWDWG,You Should See Me In A Crown,03/29/2019,3:01,"1,003,383,921",6
WWAFAWDWG,All The Good Girls Go To Hell,03/29/2019,2:42,"737,358,468",8
WWAFAWDWG,Wish You Where gay,03/29/2019,3:42,"891,679,340",7
WWAFAWDWG,When the Party's Over,03/29/2019,3:16,"2,367,356,936",2
WWAFAWDWG,8,03/29/2019,2:53,"343,674,761",13
WWAFAWDWG,My strange Addiction,03/29/2019,3:00,"622,540,450",10
WWAFAWDWG,Bury A Friend,03/29/2019,3:13,"1,131,114,028",5
WWAFAWDWG,Ilomilo,03/29/2019,2:16,"536,656,614",11
WWAFAWDWG,Listen Before I go,03/29/2019,4:03,"683,812,031",9
WWAFAWDWG,I Love You,03/29/2019,4:52,"1,270,513,065",4
WWAFAWDWG,GoodBye,03/29/2019,1:59,"289,690,419",14
Happier Than Ever,Happier Than Ever,07/30/2021,4:48,"1,727,768,223",3
Happier Than Ever,Goldwing,07/30/2021,2:31,"163,811,172",10
Happier Than Ever,Billie Bossa Nova,07/30/2021,3:16,"484,159,377",3
Happier Than Ever,Lost Cause,07/30/2021,3:32,"386,956,528",5
Happier Than Ever,Male Fantasy,07/30/2021,3:14,"276,190,583",9
Happier Than Ever,Getting Older,07/30/2021,4:04,"337,353,388",6
Happier Than Ever,Everybody Dies,07/30/2021,3:26,"154,539,523",11
Happier Than Ever,OerHeated,07/30/2021,3:34,"139,031,095",13
Happier Than Ever,Halley's comet,07/30/2021,3:54,"421,565,339",4
Happier Than Ever,My Future,07/30/2021,3:30,"569,080,586",1
Happier Than Ever,I Didn't Change My Number,07/30/2021,2:38,"305,160,375",7
Happier Than Ever,Not My Responsability,07/30/2021,3:47,"152,282,224",12
Happier Than Ever,Oxytocin,07/30/2021,3:30,"280,012,340",8
Happier Than Ever,Your Power,07/30/2021,4:04,"529,819,814",2
Hit Me Hard And Soft,SKINNY,05/17/2023,3:39,"337,919,052",8
Hit Me Hard And Soft,Lunch,05/17/2023,2:59,"906,838,407",4
Hit Me Hard And Soft,Shihiro,05/17/2023,5:03,"1,045,480,192",3
Hit Me Hard And Soft,Birds Of A Feather,05/17/2023,3:30,"3,267,780,981",1
Hit Me Hard And Soft,Wildflower,05/17/2023,4:21,"1,706,510,882",2
Hit Me Hard And Soft,The Greatest,05/17/2023,4:53,"457,200,580",7
Hit Me Hard And Soft,L'AMOUR DE MA VIE,05/17/2023,5:33,"473,980,422",6
Hit Me Hard And Soft,The Diner,05/17/2023,3:06,"292,952,310",9
Hit Me Hard And Soft,Bittersuit,05/17/2023,4:58,"255,274,108",10
Hit Me Hard And Soft,BLUE,05/17/2023,5:43,"481,674,706",5
